name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kanpur,2022-01-01,20.3,11,14.4,20.3,11,14.4,10.6,80.5,0,0,0,,,,,9.4,281,1021.6,38.3,1.5,169.9,14.6,6,,2022-01-01T06:56:48,2022-01-01T17:27:37,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-02,20.5,7.7,13.4,20.5,7.7,13.4,10.4,83.5,0,0,0,,,,,9.4,270.5,1019.8,47.3,1.8,159.3,13.8,6,,2022-01-02T06:57:04,2022-01-02T17:28:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-03,21,6.7,13.2,21,6.7,13.2,10,83.1,0,0,0,,,,,7.6,283.2,1018.1,8,1.3,151.3,13,6,,2022-01-03T06:57:19,2022-01-03T17:28:59,0,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-04,22.9,7.7,14.6,22.9,7.7,14.6,11.4,82.7,0,0,0,,,,,8.6,240.2,1017.4,2.6,1,164.2,14.3,6,,2022-01-04T06:57:32,2022-01-04T17:29:41,0.05,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-05,17.1,9.8,13.8,17.1,9.8,13.8,12.7,92.6,0,0,0,,,,,7.6,94.2,1017.3,75.9,0.7,118,10.4,6,,2022-01-05T06:57:44,2022-01-05T17:30:23,0.08,Partially cloudy,Partly cloudy throughout the day.,fog,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-06,18.5,13,14.3,18.5,13,14.3,13.2,93.2,10.8,100,20.83,rain,,,,16.9,79.4,1016.9,92.2,1.2,80.3,7.1,4,,2022-01-06T06:57:54,2022-01-06T17:31:06,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-07,18.9,12.6,15.8,18.9,12.6,15.8,14.6,92.8,3,100,4.17,rain,,,,10.8,81.9,1017.9,90.6,1.5,61.1,5.1,3,,2022-01-07T06:58:03,2022-01-07T17:31:50,0.15,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-08,19.6,15,16.9,19.6,15,16.9,15.7,92.8,3.2,100,12.5,rain,,,,18.4,111,1016.7,93.5,2.1,68.7,6.1,3,,2022-01-08T06:58:11,2022-01-08T17:32:34,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-09,21.4,14.8,16.5,21.4,14.8,16.5,15.2,92.1,0.8,100,4.17,rain,,,,18.4,96.3,1014.8,85.4,2.1,95.2,8.2,4,,2022-01-09T06:58:17,2022-01-09T17:33:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-10,21.4,14,17.3,21.4,14,17.3,15.7,90.3,0,0,0,,0,0,9.4,9.4,283.5,1016.2,74.9,2.7,184.1,16,7,10,2022-01-10T06:58:21,2022-01-10T17:34:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-11,21,12.6,16.2,21,12.6,16.2,14.6,90.8,0,0,0,rain,0,0,11.9,7.6,277.5,1016.6,60.9,2.7,159.4,13.8,7,10,2022-01-11T06:58:24,2022-01-11T17:34:50,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-12,20.4,12,15.4,20.4,12,15.4,12.1,82.4,0,0,0,,0,0,14.8,14.8,297.8,1016.5,57.3,2.4,165,14.3,7,10,2022-01-12T06:58:25,2022-01-12T17:35:36,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-13,19.5,8,13.3,19.5,8,13.3,10.2,82.8,0,0,0,,0,0,11.5,11.2,316.2,1017.3,28,2.7,167.8,14.5,7,10,2022-01-13T06:58:25,2022-01-13T17:36:22,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-14,19,6.9,12.6,19,6.9,12.6,10,85.1,0,0,0,,0,0,9,7.6,329.3,1017.7,11.9,1.9,170.6,14.8,7,10,2022-01-14T06:58:24,2022-01-14T17:37:08,0.38,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-15,14.4,8,10.4,14.4,7.5,10,8.9,90.4,0,0,0,,0,0,11.2,9.4,301.2,1019.1,44.5,1.2,171.9,14.8,7,10,2022-01-15T06:58:21,2022-01-15T17:37:55,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-16,14,7,9.5,14,6.2,9.3,7.8,89,0,0,0,,0,0,14,7.6,284.8,1020.4,51.5,1,174.3,14.9,7,10,2022-01-16T06:58:16,2022-01-16T17:38:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-17,15.2,7,9.9,15.2,6.6,9.5,7.5,86.8,0,0,0,,0,0,7.6,11.2,294.3,1021.2,52.3,2.9,174,15,7,10,2022-01-17T06:58:10,2022-01-17T17:39:29,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-18,13.2,4,8.4,13.2,4,8.2,6.5,88.7,0,0,0,,0,0,11.2,14.8,294,1018.7,74.9,1.8,172.3,14.8,7,10,2022-01-18T06:58:02,2022-01-18T17:40:16,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-19,13.6,8,10,13.6,6.8,9.6,8.3,89.8,0,0,0,,0,0,11.9,9.4,299.7,1016.4,83.1,1.6,168.5,14.5,7,10,2022-01-19T06:57:53,2022-01-19T17:41:03,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-20,17.1,6,11.1,17.1,6,11.1,9.4,89.7,0,0,0,,0,0,6.5,3.6,321.4,1012.3,56.5,1,162.6,14,7,10,2022-01-20T06:57:42,2022-01-20T17:41:50,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-21,20.5,9.4,14.1,20.5,9.4,14.1,11.1,83.7,0,0,0,,0,0,13.3,5.4,40.7,1011.7,40,2.1,167.5,14.6,7,10,2022-01-21T06:57:30,2022-01-21T17:42:38,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-22,15.5,10,12.4,15.5,9.6,12.3,11.1,92.3,3.4,100,8.33,rain,0,0,47.9,16.6,89.8,1009.6,63.3,1.4,55.6,4.9,2,10,2022-01-22T06:57:16,2022-01-22T17:43:25,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-23,17,12,14.3,17,12,14.3,13.2,93.1,0,0,0,rain,0,0,49.7,22.3,92,1009.6,94.7,1.2,166.7,14.5,7,10,2022-01-23T06:57:01,2022-01-23T17:44:12,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-24,17,12.6,14.7,17,12.6,14.7,13.2,90.7,0,0,0,,0,0,23,11.2,322.7,1012.9,90.8,1.3,163.1,14,7,10,2022-01-24T06:56:44,2022-01-24T17:44:59,0.72,Overcast,Cloudy skies throughout the day.,cloudy,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-25,18.5,9,13.1,18.5,7.9,13,10.1,83.4,0,0,0,,0,0,15.5,14.8,298.7,1014,50.6,2.2,178.9,15.4,7,10,2022-01-25T06:56:26,2022-01-25T17:45:46,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-26,15.5,8,10.9,15.5,7.4,10.7,9,88.8,0,0,0,,0,0,23.4,11.2,281.9,1015.5,73.1,1.5,159.3,13.9,7,10,2022-01-26T06:56:06,2022-01-26T17:46:33,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-27,18.4,6.3,11.3,18.4,5.2,11,8.9,86.2,0,0,0,,0,0,20.5,17.3,296.5,1016.2,57.6,3,178.2,15.4,7,10,2022-01-27T06:55:45,2022-01-27T17:47:20,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-28,19.5,7,12.5,19.5,6.2,12.3,7.8,75.6,0,0,0,,0,0,27.4,18.4,274.1,1016.2,37.6,1.7,186,16.1,8,10,2022-01-28T06:55:22,2022-01-28T17:48:07,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-29,21,8,13.5,21,8,13.5,8.5,74.5,0,0,0,,0,0,20.9,18.4,296.2,1016.4,0,3.1,182.8,15.6,7,10,2022-01-29T06:54:58,2022-01-29T17:48:53,0.9,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-30,23.5,8,15.4,23.5,6.8,15.2,9.8,73.2,0,0,0,,0,0,24.8,20.5,277.9,1011.8,0,4.3,185.3,16,8,10,2022-01-30T06:54:33,2022-01-30T17:49:39,0.93,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-31,23,9.7,13.5,23,9.1,13.4,11.3,88.2,0,0,0,,0,0,10.4,9.4,55.6,1012.2,45.8,1.7,183.9,15.9,7,10,2022-01-31T06:54:06,2022-01-31T17:50:25,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-01,22,8,14.1,22,8,14.1,11.5,85,0,0,0,,0,0,20.2,14.8,297,1010.8,31.3,0.9,183.9,15.9,7,10,2022-02-01T06:53:38,2022-02-01T17:51:11,0,Partially cloudy,Clearing in the afternoon.,fog,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-02,21,10,13.8,21,10,13.8,10.8,83.3,0,0,0,,0,0,22.3,11.5,5,1012.2,59.8,1.8,185.8,16,7,10,2022-02-02T06:53:08,2022-02-02T17:51:56,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-03,21.8,11,15.5,21.8,11,15.5,13.1,86.5,13,100,4.17,rain,0,0,45.4,29.5,110.7,1008.8,70.6,2.1,183.1,15.7,8,10,2022-02-03T06:52:37,2022-02-03T17:52:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-04,17.1,12,14.4,17.1,12,14.4,13.1,91.6,0,0,0,,0,0,23.8,11.2,19.1,1009.6,84.5,2.4,185.3,16,7,10,2022-02-04T06:52:05,2022-02-04T17:53:26,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-05,17.1,10,12.4,17.1,9.6,12.3,10.6,89.5,0,0,0,,0,0,18.7,11.2,315.8,1013.5,76.2,1.2,192,16.6,7,10,2022-02-05T06:51:31,2022-02-05T17:54:10,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-06,19,8,12.1,19,8,12.1,10,87.7,0,0,0,,0,0,11.9,7.6,310.7,1016.4,47.7,1.5,193,16.7,8,10,2022-02-06T06:50:57,2022-02-06T17:54:54,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-07,22.3,6,14.1,22.3,6,14.1,10.1,79.1,0,0,0,,0,0,9.7,7.6,223,1015.6,8.4,3.7,193,16.6,8,10,2022-02-07T06:50:21,2022-02-07T17:55:38,0.19,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-08,23.5,9,16.3,23.5,9,16.3,13.5,84.5,0,0,0,,0,0,16.2,7.6,118.3,1013.8,10.4,1.8,191.4,16.4,7,10,2022-02-08T06:49:43,2022-02-08T17:56:21,0.25,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-09,21.8,12.7,16.1,21.8,12.7,16.1,14.6,90.7,0,0,0,rain,0,0,37.4,18.4,68.3,1014.2,52.4,1.7,183.5,15.7,7,10,2022-02-09T06:49:05,2022-02-09T17:57:04,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-10,21.5,10,15,21.5,9.1,14.9,11.8,82.9,0,0,0,,0,0,24.1,18.4,300.5,1016.1,27.6,2.6,198.7,17,8,10,2022-02-10T06:48:25,2022-02-10T17:57:46,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-11,22.5,10,15.7,22.5,10,15.7,10.1,72.8,0,0,0,,0,0,32,27.7,285.2,1015.1,0,3.9,204,17.5,8,10,2022-02-11T06:47:44,2022-02-11T17:58:28,0.32,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-12,23,10,15.5,23,8.8,15.4,9.7,71.9,0,0,0,,0,0,22.3,18.4,273.9,1014.2,0,4.8,207.9,17.7,8,10,2022-02-12T06:47:02,2022-02-12T17:59:10,0.36,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-13,24,8,15.8,24,8,15.8,9.7,71.3,0,0,0,,0,0,9.7,7.6,282.1,1013.5,0,3.2,206.2,17.7,8,10,2022-02-13T06:46:19,2022-02-13T17:59:51,0.39,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-14,24.4,8.4,16.4,24.4,8.4,16.4,11.6,75.9,0,0,0,,0,0,10.1,7.6,312.8,1013.4,0,3,205.2,17.6,8,10,2022-02-14T06:45:35,2022-02-14T18:00:32,0.42,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-15,24.5,9.8,17.5,24.5,9.8,17.5,13.1,77.6,0,0,0,,0,0,16.6,7.6,327.6,1013,5.1,2.8,204.3,17.7,8,10,2022-02-15T06:44:50,2022-02-15T18:01:12,0.45,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-16,25.5,10.2,17.8,25.5,10.2,17.8,12.8,75.3,0,0,0,,0,0,17.3,16.6,303.3,1010.7,0,3,204.7,17.8,8,10,2022-02-16T06:44:03,2022-02-16T18:01:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-17,26.5,10.8,18.1,26.5,10.8,18.1,12,71.7,0,0,0,,0,0,29.9,18.4,292.9,1010.4,0,3.9,210.2,18.1,8,10,2022-02-17T06:43:16,2022-02-17T18:02:31,0.52,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-18,27,11.7,18.4,26.8,11.7,18.4,11.8,69.2,0,0,0,,0,0,22.3,14.8,278.2,1011.8,0,3.6,209.7,17.9,8,10,2022-02-18T06:42:28,2022-02-18T18:03:10,0.56,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-19,27.5,12.2,20.1,26.7,12.2,20,11.5,61.7,0,0,0,,0,0,22.7,18.4,293.6,1012.4,7.6,3.7,206.5,17.8,8,10,2022-02-19T06:41:38,2022-02-19T18:03:49,0.59,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-20,25.3,12,18.5,25.3,12,18.5,12.2,69.4,0,0,0,,0,0,47.9,24.1,274,1007.7,0.2,4,213.3,18.4,8,10,2022-02-20T06:40:48,2022-02-20T18:04:27,0.63,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-21,25.5,11.3,17.9,25.5,11.3,17.9,11.7,70.6,0,0,0,,0,0,20.9,20.5,287.2,1008.4,3.4,4,216.4,18.5,8,10,2022-02-21T06:39:57,2022-02-21T18:05:05,0.66,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-22,27,10.4,18.6,26.8,10.4,18.6,12.7,72.2,0,0,0,,0,0,51.5,16.6,110.8,1012.5,6.4,3.5,212.8,18.4,8,10,2022-02-22T06:39:05,2022-02-22T18:05:42,0.7,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-23,27,15.8,20.6,27.4,15.8,20.6,16,76.7,0,0,0,,0,0,50.4,22.3,105.3,1014.2,17.2,3.6,207.7,17.9,8,10,2022-02-23T06:38:12,2022-02-23T18:06:19,0.73,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-24,27.5,17,21.8,28,17,21.8,16.9,74.8,0,0,0,,0,0,28.4,14.8,83.1,1014.6,42.9,3.8,187.9,16.4,7,10,2022-02-24T06:37:18,2022-02-24T18:06:56,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-25,28,15.3,21.3,28,15.3,21.3,15.4,72,0,0,0,,0,0,14,13,329.5,1015.7,38.6,3.3,213,18.4,8,10,2022-02-25T06:36:24,2022-02-25T18:07:32,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-02-26,29.4,16,20.9,27.9,16,20.9,15.3,72.4,0,0,0,,0,0,40.7,16.6,65.4,1016.3,23.2,4.4,214.5,18.5,8,10,2022-02-26T06:35:29,2022-02-26T18:08:07,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-02-27,28.7,16,21.5,27.3,16,21.3,13,63.1,0,0,0,,0,0,28.8,14.8,2.9,1015.7,30.3,7.4,215.6,18.6,8,10,2022-02-27T06:34:33,2022-02-27T18:08:43,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42369099999,VILK,remote"
kanpur,2022-02-28,25.8,14.7,19.5,25.8,14.7,19.5,12.2,65.6,0,0,0,,0,0,23.4,16.6,303,1015.4,0,3.9,227.4,19.5,9,10,2022-02-28T06:33:36,2022-02-28T18:09:18,0.91,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-01,27.5,13,19.4,26.9,13,19.3,12.6,68.3,0,0,0,,0,0,11.9,9.4,301.1,1016.1,2.5,3.8,206.4,16.3,8,10,2022-03-01T06:32:39,2022-03-01T18:09:52,0.95,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-02,28.4,11.9,20.1,27.8,11.9,20.1,13.8,70.3,0,0,0,,0,0,12.6,9.4,303.2,1015.9,0,3.7,208.7,16.4,8,10,2022-03-02T06:31:41,2022-03-02T18:10:26,0,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-03,29,13,20.7,29.1,13,20.7,14.2,69.4,0,0,0,,0,0,14.4,9.4,287.5,1015,4,3.9,206.5,16.3,8,10,2022-03-03T06:30:42,2022-03-03T18:11:00,0.02,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-04,30.6,14.9,22.9,29.9,14.9,22.8,15,64.7,0,0,0,,0,0,30.6,18.4,300.2,1013.6,21.8,4.1,208.4,16.5,8,10,2022-03-04T06:29:43,2022-03-04T18:11:34,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-05,27,15,21.1,27.5,15,21.2,16,74.7,0,0,0,,0,0,24.8,18.4,291.2,1012.9,0,4,215.1,17,9,10,2022-03-05T06:28:43,2022-03-05T18:12:07,0.08,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-06,29,14,21,29.1,14,21.1,15.4,73.1,0,0,0,,0,0,10.4,11.2,315.3,1013.4,11.1,4,214.5,16.9,9,10,2022-03-06T06:27:43,2022-03-06T18:12:40,0.11,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-07,30,14.9,22.3,29.7,14.9,22.3,15.7,69.1,0,0,0,,0,0,16.6,7.6,296.9,1014.1,59.4,3.9,215.8,17.7,8,10,2022-03-07T06:26:42,2022-03-07T18:13:12,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-08,29.6,14.9,21.9,29.3,14.9,21.9,15.2,68.4,0,0,0,,0,0,25.6,20.5,300.3,1012.7,25.4,3.5,205.1,17.6,8,10,2022-03-08T06:25:41,2022-03-08T18:13:44,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-09,32,16,23.2,31.3,16,23.1,15,63.7,0,0,0,,0,0,25.6,16.6,290,1011.5,24.8,3.9,232.3,19.9,8,10,2022-03-09T06:24:39,2022-03-09T18:14:16,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-10,30.5,17,23.6,29.4,17,23.5,14.8,60.8,0,0,0,,0,0,22.7,16.6,292.4,1011.5,38.6,3.8,235.2,20.3,9,10,2022-03-10T06:23:37,2022-03-10T18:14:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-11,32.7,17,23.5,30.4,17,23.3,14.5,62.7,0,0,0,,0,0,25.6,21.2,287,1011.5,0.4,6.4,242.2,20.8,9,10,2022-03-11T06:22:35,2022-03-11T18:15:19,0.27,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-03-12,30.5,17,23.1,30.4,17,23.2,16.2,67.8,0,0,0,,0,0,18.7,16.6,288.9,1010.6,0,4.1,250.3,21.3,9,10,2022-03-12T06:21:32,2022-03-12T18:15:50,0.31,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-03-13,31.3,16,23.6,31.9,16,24,17.1,69.2,0,0,0,,0,0,14,16.6,272.9,1010.7,0,3.9,248.3,21.3,9,10,2022-03-13T06:20:28,2022-03-13T18:16:21,0.34,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,42469099999"
